N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE
50.5,18.2,18.5,11,1.35,NaN,4.7840315,NaN,NaN,NaN,NaN,NaN
52.4,17,18.5,10.7,1.2,NaN,4.600811,NaN,NaN,NaN,NaN,NaN
51.5,17.5,18,11.5,1.35,NaN,4.6453855,NaN,NaN,NaN,NaN,NaN
51.5,17.5,19.2,10.3,1.2,NaN,4.743157,NaN,NaN,NaN,NaN,NaN
50.5,18.2,18.5,11,1.35,NaN,4.7840315,NaN,NaN,NaN,NaN,NaN
53,16.5,17.5,11.5,0.85,NaN,4.2949755,NaN,NaN,NaN,NaN,NaN
52.5,17,17,12,0.95,NaN,4.3216085,NaN,NaN,NaN,NaN,NaN
49.1,18,20.2,11,1.2,NaN,4.923402,NaN,NaN,NaN,NaN,NaN
48.9,19,19,11.4,1.3,NaN,4.915519,NaN,NaN,NaN,NaN,NaN
0,51.5,22,17,7,2.5,12,20.54794521,1.31838,58.695,93.19148936,72.51965227
0,55,20,15,6,4,12.4,26.92307692,1.1739,99.33,85.74468085,57.52918906
0,57.5,22,12,6,2.5,12.6,38.46153846,0.93912,139.965,69.70212766,44.6028336
0,50.5,27.5,11,8,3,13.2,76.62337662,0.69531,198.66,54.06382979,38.14832922
0,51.5,22,18.5,6,2,11.9,20,1.13245,62.48,109.2088608,61.40385272
0,49,23,17.5,6,4.5,12.4,33.07086614,0.99187,85.91,99.67088608,53.66457675
0,44,27.5,16,7.5,5,13.25,55.67010309,0.75757,121.055,81.34493671,44.67641534
0,37,34,16.5,8.5,4,13.75,101.4285714,0.5467,175.725,60.91772152,37.16784808
0,51.5,22,17,7,2.5,12.55,32.17391304,0.9982,173.6,78.01351351,55.82713242
0,51.5,22,18,6,2.5,12.6,48.51485149,0.87668,190.96,68.78918919,49.12988426
0,46,20,21,9,4,13,73.75,0.6944,195.3,56.21621622,42.43843636
0,38,27.5,20,9,5.5,13.3,103.030303,0.57288,203.98,47.44864865,39.29362579
0,51.5,22,18.5,7,1,11.7,35.71428571,0.85568,137.52,81.39130435,50.72802706
0,53,18,18.5,6,4.5,12.1,44.66019417,0.78692,145.16,77.40993789,41.93200758
0,53,17.5,18,9,2.5,12.4,68.35443038,0.60356,164.26,60.8447205,33.58744831
0,41.5,24.5,21.5,9,3.5,13.1,86.30136986,0.55772,221.56,59.39751553,38.29506463
0,51,19,17,13,0,10.83,17.5,1.32,NaN,77.12102974,65.3134927
0,51,NaN,NaN,NaN,NaN,13.45,15.5,1.55,NaN,112.4668197,NaN
0,59,NaN,NaN,NaN,NaN,13.72,12.5,1.66,NaN,122.8662579,NaN
0,58,NaN,NaN,NaN,NaN,13.12,15,1.36,NaN,96.25940555,NaN
0,22.5,40.5,18.5,14,NaN,12.56616,12.7,0.49464,NaN,33.4178784,35.3630409
0,25,40,16,14,NaN,12.77257,11.9,0.51296,NaN,35.22482531,35.07862175
0,25.5,42.5,13,13.5,NaN,12.962895,10.4,0.588988,NaN,41.04833118,39.53729566
0,40.4,24.1,21.7,12.2,1.7,12.78938,NaN,0.744417889,219,58.47060718,45.4728691
0,39.4,23.5,23.1,11.3,2.7,12.877375,NaN,0.719894463,217,56.93344822,44.00374071
0,52.2,22.1,19.5,6,0.2,10.692513,NaN,0.862760104,212,56.65537943,43.37723547
