N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE
65.3,8.5,6.9,13.8,2.4,1.5,2.7,4.8,1.57945,19.6667,37.08273913,79.5
63.3,9.7,8.2,13.9,2.1,1.4,2.9,3,1.57945,6.5216,39.8296087,89.1
60.8,9.9,7.7,14.8,2.8,1.9,3.2,11.2,1.2228,18.9534,34.02573913,72.2
59.2,11,8.4,14.8,3.1,2,3.5,7.2,1.3247,8.40675,40.31695652,79.7
53.8,15.5,10.4,14.1,3.2,1.5,4.2,4,1.4266,6.7254,52.10191304,86.7
60.4,10,7.8,15.6,2.9,1.8,3.2,10.9,1.27375,17.67965,35.44347826,74.7
58.5,12,8.6,15.2,2.7,1.6,3.5,6.9,1.3247,7.59155,40.31695652,79.8
53.1,16.1,10.1,14.7,3,1.5,4.2,3.9,1.4266,7.59155,52.10191304,87.6
64.9,8,7.6,14.2,2.3,1.5,2.7,7.4,1.27375,25.2712,29.90543478,68.4
60.1,12.3,8.5,13.5,2.8,1.3,3.5,4.3,1.37565,29.50005,41.8676087,73.1
55.1,15,12.2,12.5,2.8,1,4.3,2.3,1.4266,9.2729,53.34243478,85.5
64.4,8.8,7.7,14.1,2.3,1.3,2.8,4.7,1.27375,26.13735,31.01304348,69.4
59.8,12.1,8.3,12.6,2.8,1.4,3.5,2.6,1.4266,42.95085,43.41826087,71.4
56.5,14.2,12.2,12.2,2.5,1,4.1,1.4,1.4266,8.40675,50.8613913,83.3
58.2,13.3,8.4,14.9,2.4,1.3,3.5,3.4,1.37565,13.50175,41.8676087,79
56.1,15.2,8.1,15.3,2.6,1.3,3.7,3.5,1.37565,15.1831,44.26004348,80.8
58.27953084,6.473145866,13.19686512,15.91141016,3.508027437,1.294629173,4.591817676,NaN,1.8824,NaN,71.15947548,86.4
59.91618604,5.571650141,11.50405461,17.55671052,3.487291815,1.242598233,4.238276576,NaN,1.65438,NaN,57.72457627,83.2
61.445842,5.436136278,10.40962266,17.65780436,3.199995114,1.195178898,3.940750696,NaN,1.49,NaN,48.33941807,79.6
60.7469761,5.315103536,10.9254906,17.91386747,3.248118828,1.181134119,4.002960431,14.75,1.2775,NaN,44.35373045,71
61.37841851,5.29986772,10.7924579,17.63410532,3.083559401,1.156334775,3.903238596,11.75,1.46,NaN,49.42718787,75
62.25210422,5.368338472,10.35995144,17.32937331,3.013804054,1.035995144,3.751988503,10,1.606,NaN,52.26307838,79
62.99879511,5.195755952,9.927605123,17.44289498,2.876222045,0.927813563,3.555139398,4.25,1.7885,NaN,55.14847729,86
58.20245353,5.825442017,13.83542479,17.06022305,3.224798259,1.144283253,4.393643015,17.25,1.3986,NaN,44.40747338,67
60.21428492,5.728826898,12.74170121,16.2975248,3.160732082,1.185274531,4.245406949,9.5,1.7388,NaN,53.25116365,80
60.31276428,6.1239637,12.64302183,16.19887172,3.160755458,0.888962473,4.088192808,6.5,1.9656,NaN,57.96777859,88
61.89727598,5.47290241,12.36121062,15.75818453,3.019532364,0.849243477,3.900079445,4.25,2.0412,NaN,57.42740049,92
59.27917552,5.486338628,14.02064316,15.64622498,3.657559085,1.219186362,4.599834136,15,1.7204,NaN,48.89426372,74
59.41646362,6.12119704,13.67067339,15.5070325,3.468678323,1.122219457,4.48824332,12,1.8768,NaN,51.93916441,80
60.47397996,6.295831962,12.98515342,15.05097329,3.443033104,1.082096119,4.385054953,8.5,2.1114,NaN,57.08817085,86
60.68442874,6.081750046,12.94824203,15.20437511,3.433245994,0.980927427,4.288963516,7,2.1505,NaN,56.87119703,88
61.60035038,5.556835524,12.7423987,15.23339394,3.353262816,0.862267581,4.098547051,3,2.346,NaN,59.28686737,95
56.3,11.9,19.7,10,2.1,NaN,4.5,26.77,2.06,242.25,45.1,67.3
57.7,10.3,19.4,10.3,2.3,NaN,4.4,13.21,2.02,104.15,44.1,68.5
59.2,11,18.5,9.5,1.8,NaN,4.2,9.94,2.17,48.41,44.3,68.5
58,9,21.7,9.1,2.2,NaN,4.5,22.41,2.13,93.06,52.5,79.5
55,11.1,20.3,11.1,2.5,NaN,4.6,39.32,2.05,82.99,50.9,76.5
63.77,8.5,16.4,9.73,1.6,NaN,4.3,30.91,2.32,220.34,50,72.3
61.4,9.2,18.3,9.4,1.7,NaN,3.9,34.67,1.89,102.74,34.9,56
59.7,10,20.6,7.9,1.8,NaN,4.3,60,1.81,140.07,38.6,58.2
60.9,8.4,20.5,8.6,1.6,NaN,4,28.88,1.67,201.72,32.8,70
57.2,14.2,19,8.8,0.8,NaN,4.2,11.75,2.3,63.41,49.3,71.6
60.8,10.9,19.5,7.9,0.9,NaN,3.9,22.38,1.91,175.43,39,59.2
54.1,15.3,19.7,9.6,1.3,NaN,4.6,9.55,1.93,60.32,40.3,68.6
56.7,12.9,19,10.2,1.2,NaN,4.2,30.68,2.03,62.37,42.9,65.8
59.9,12.1,16.9,9.6,1.5,NaN,3.95,50.95,1.45,102.15,28.9,50.4
58.7,11.4,17.3,11,1.6,NaN,3.97,13.72,2.22,180.64,43.1,69.6
51.5,13.02,8.43,20.31,2.77,1.06,4.13,1.15,1.36,301.52,33.8,47.55820772
50.6,12.91,9.08,19.6,2.67,1.12,4.21,NaN,1.66,NaN,42.14,57.86871802
54.14,13.5,8.42,20.04,2.7,1.2,4.25,1.09,1.35,261.92,34.76,47.09111204
54.45,12.73,9.15,19.9,2.65,1.09,4.19,NaN,1.38,NaN,34.85,48.53735049
56.57,4,19.9,14.45,2.9,2.14,4.956970702,NaN,1.5,NaN,52.28872049,76
61.3,3.78,14.95,16.23,2.37,1.29,3.760987314,NaN,1.73,NaN,45.75603413,78.3
63.59,3.39,12.75,17.14,1.98,1.13,3.21810767,NaN,1.98,NaN,44.80909414,81
59.46,3.77,18.29,14.5,2.36,1.62,4.311169887,NaN,1.49,NaN,45.1732991,70.4
62.42,3.4,14.43,16.46,2,1.21,3.477925097,NaN,1.71,NaN,41.8231499,72.6
64.11,3.26,12.5,17.23,1.85,1.05,3.090481122,NaN,1.97,NaN,42.81468222,78.6
63.13,3.41,15.13,14.82,2,1.51,3.687742524,NaN,1.3,NaN,33.71353925,55
63.98,3.32,13,16.62,1.91,1.09,3.199385683,NaN,1.5,NaN,33.74879412,60
64.21,3.25,12.29,17.42,1.84,0.98,3.030663696,NaN,1.7,NaN,36.23156317,67
55.1,9.2,12.8,20.8,2.1,NaN,3.38,NaN,1.312764553,NaN,29.91381574,71.9
52.5,11.6,14.7,18.4,2.8,NaN,4.13,NaN,1.340113815,NaN,37.31298627,73.3
57.3,7.6,13.7,18.6,2.8,NaN,3.57,NaN,1.415324284,NaN,34.06374922,77.1
53.3,10.4,13.4,20.3,2.6,NaN,3.76,NaN,1.43583623,NaN,36.39661753,78.2
54.5,9.6,12.2,21.5,2.2,NaN,3.38,NaN,1.565745222,NaN,35.67845732,85.5
51.8,12.3,14.5,18.4,3,NaN,4.25,NaN,1.579419853,NaN,45.25377312,86.1
51.9,11.8,12.7,21.1,2.5,NaN,3.79,NaN,1.456348176,NaN,37.2111163,79.6
49.4,13.1,14.2,20.4,2.9,NaN,4.26,NaN,1.599931799,NaN,45.94934678,87.3
0,22.05,29.87,34.19,9.54,4.05,11.96,36.640625,0.64,NaN,39.66010363,60
